conta,duração,historico,motivo,quantia,poupança,emprego,taxa,status,garantia,residencia,propriedades,idade,financiamentos,moradia,creditos,trabalho,dependentes,telefone,estrangeiro,pagador
negativo,6,conta crítica,radio/televisão,1169,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,imobiliario,67,nenhum,própria,2,nível 2,1,sim,não,bom
[0-200),48,pagamento em dia,radio/televisão,5951,<100,"[1,4) anos",2,feminino/divorciado,nenhum,2,imobiliario,22,nenhum,própria,1,nível 2,1,não,não,mau
sem conta,12,conta crítica,educação,2096,<100,"[4,7) anos",2,masculino/solteiro,nenhum,3,imobiliario,49,nenhum,própria,1,nível 1,2,não,não,bom
negativo,42,pagamento em dia,móveis,7882,<100,"[4,7) anos",2,masculino/solteiro,fiador,4,seguro  de vida,45,nenhum,de graça,1,nível 2,2,não,não,bom
negativo,24,já atrasou pagamentos,carro novo,4870,<100,"[1,4) anos",3,masculino/solteiro,nenhum,4,sem propriedades,53,nenhum,de graça,2,nível 2,2,não,não,mau
sem conta,36,pagamento em dia,educação,9055,sem conta,"[1,4) anos",2,masculino/solteiro,nenhum,4,sem propriedades,35,nenhum,de graça,1,nível 1,2,sim,não,bom
sem conta,24,pagamento em dia,móveis,2835,[500-1000),> 7 anos,3,masculino/solteiro,nenhum,4,seguro  de vida,53,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),36,pagamento em dia,carro usado,6948,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,carro,35,nenhum,alugada,1,nível 3,1,sim,não,bom
sem conta,12,pagamento em dia,radio/televisão,3059,>1000,"[4,7) anos",2,masculino/divorciado,nenhum,4,imobiliario,61,nenhum,própria,1,nível 1,1,não,não,bom
[0-200),30,conta crítica,carro novo,5234,<100,desempregado,4,masculino/casado,nenhum,2,carro,28,nenhum,própria,2,nível 3,1,não,não,mau
[0-200),12,pagamento em dia,carro novo,1295,<100,< 1 ano,3,feminino/divorciado,nenhum,1,carro,25,nenhum,alugada,1,nível 2,1,não,não,mau
negativo,48,pagamento em dia,negócios,4308,<100,< 1 ano,3,feminino/divorciado,nenhum,4,seguro  de vida,24,nenhum,alugada,1,nível 2,1,não,não,mau
[0-200),12,pagamento em dia,radio/televisão,1567,<100,"[1,4) anos",1,feminino/divorciado,nenhum,1,carro,22,nenhum,própria,1,nível 2,1,sim,não,bom
