,conta,duração,quantia,poupança,emprego,idade,creditos,trabalho,pagador
0,negativo,6,1169,sem conta,> 7 anos,67,2,nível 2,bom
1,[0-200),48,5951,<100,"[1,4) anos",22,1,nível 2,mau
2,sem conta,12,2096,<100,"[4,7) anos",49,1,nível 1,bom
3,negativo,42,7882,<100,"[4,7) anos",45,1,nível 2,bom
4,negativo,24,4870,<100,"[1,4) anos",53,2,nível 2,mau
5,sem conta,36,9055,sem conta,"[1,4) anos",35,1,nível 1,bom
6,sem conta,24,2835,[500-1000),> 7 anos,53,1,nível 2,bom
7,[0-200),36,6948,<100,"[1,4) anos",35,1,nível 3,bom
8,sem conta,12,3059,>1000,"[4,7) anos",61,1,nível 1,bom
9,[0-200),30,5234,<100,desempregado,28,2,nível 3,mau
10,[0-200),12,1295,<100,< 1 ano,25,1,nível 2,mau
11,negativo,48,4308,<100,< 1 ano,24,1,nível 2,mau
12,[0-200),12,1567,<100,"[1,4) anos",22,1,nível 2,bom
13,negativo,24,1199,<100,> 7 anos,60,2,nível 1,mau
14,negativo,15,1403,<100,"[1,4) anos",28,1,nível 2,bom
15,negativo,24,1282,[100-500),"[1,4) anos",32,1,nível 1,mau
16,sem conta,24,2424,sem conta,> 7 anos,53,2,nível 2,bom
17,negativo,30,8072,sem conta,< 1 ano,25,3,nível 2,bom
18,[0-200),24,12579,<100,> 7 anos,44,1,nível 3,mau
19,sem conta,24,3430,[500-1000),> 7 anos,31,1,nível 2,bom
20,sem conta,9,2134,<100,"[1,4) anos",48,3,nível 2,bom
21,negativo,6,2647,[500-1000),"[1,4) anos",44,1,nível 2,bom
22,negativo,10,2241,<100,< 1 ano,48,2,nível 1,bom
23,[0-200),12,1804,[100-500),< 1 ano,44,1,nível 2,bom
24,sem conta,10,2069,sem conta,"[1,4) anos",26,2,nível 2,bom
25,negativo,6,1374,<100,"[1,4) anos",36,1,nível 1,bom
26,sem conta,6,426,<100,> 7 anos,39,1,nível 1,bom
27,200+,12,409,>1000,"[1,4) anos",42,2,nível 2,bom
28,[0-200),7,2415,<100,"[1,4) anos",34,1,nível 2,bom
29,negativo,60,6836,<100,> 7 anos,63,2,nível 2,mau
30,[0-200),18,1913,>1000,< 1 ano,36,1,nível 2,bom
31,negativo,24,4020,<100,"[1,4) anos",27,1,nível 2,bom
32,[0-200),18,5866,[100-500),"[1,4) anos",30,2,nível 2,bom
33,sem conta,12,1264,sem conta,> 7 anos,57,1,nível 1,bom
34,200+,12,1474,<100,< 1 ano,33,1,nível 3,bom
35,[0-200),45,4746,<100,< 1 ano,25,2,nível 1,mau
36,sem conta,48,6110,<100,"[1,4) anos",31,1,nível 2,bom
37,200+,18,2100,<100,"[1,4) anos",37,1,nível 2,mau
38,200+,10,1225,<100,"[1,4) anos",37,1,nível 2,bom
39,[0-200),9,458,<100,"[1,4) anos",24,1,nível 2,bom
40,sem conta,30,2333,[500-1000),> 7 anos,30,1,nível 3,bom
41,[0-200),12,1158,[500-1000),"[1,4) anos",26,1,nível 2,bom
42,[0-200),18,6204,<100,"[1,4) anos",44,1,nível 1,bom
43,negativo,30,6187,[100-500),"[4,7) anos",24,2,nível 2,bom
44,negativo,48,6143,<100,> 7 anos,58,2,nível 1,mau
45,sem conta,11,1393,<100,< 1 ano,35,2,nível 3,bom
46,sem conta,36,2299,[500-1000),> 7 anos,39,1,nível 2,bom
47,negativo,6,1352,[500-1000),desempregado,23,1,desempregado,bom
48,sem conta,11,7228,<100,"[1,4) anos",39,2,nível 1,bom
49,sem conta,12,2073,[100-500),"[1,4) anos",28,1,nível 2,bom
50,[0-200),24,2333,sem conta,< 1 ano,29,1,nível 1,bom
51,[0-200),27,5965,<100,> 7 anos,30,2,nível 3,bom
52,sem conta,12,1262,<100,"[1,4) anos",25,1,nível 2,bom
